TP,TN,FP,FN,Accuracy,MCC,F1_macro,F1_weighted,Run
69,299,20,25,0.8910411622276029,0.6846026439954944,0.8420569563776356,0.8899762881873863,1
68,298,21,26,0.8861985472154964,0.6705575944713704,0.8350372655499749,0.885086345440159,2
67,292,27,27,0.8692493946731235,0.6281264590142066,0.8140632295071033,0.8692493946731235,3
65,303,16,29,0.8910411622276029,0.677221984782697,0.8368663594470046,0.888082034344629,4
69,304,15,25,0.9031476997578692,0.7156347842325431,0.856776251907338,0.9011744466578465,5
62,304,15,32,0.8861985472154964,0.6594586984624723,0.8266952368197849,0.8820185626009217,6
68,297,22,26,0.8837772397094431,0.6646695006537848,0.832182039821211,0.882876013510522,7
69,300,19,25,0.8934624697336562,0.690631281450318,0.8449593884376494,0.8922026494402534,8
65,302,17,29,0.8886198547215496,0.6708009445508353,0.8339335664335665,0.8858509287322848,9
66,304,15,28,0.8958837772397095,0.6917658296017524,0.8441167434715822,0.8930561661515344,10
67,301,18,27,0.8910411622276029,0.6806776774133173,0.8395257872604975,0.889059801651945,11
68,298,21,26,0.8861985472154964,0.6705575944713704,0.8350372655499749,0.885086345440159,12
64,299,20,30,0.8789346246973365,0.6439010902642794,0.8209703148841725,0.8764680583223083,13
66,303,16,28,0.8934624697336562,0.6852776540716324,0.8411538461538463,0.8908139318308811,14
68,297,22,26,0.8837772397094431,0.6646695006537848,0.832182039821211,0.882876013510522,15
65,297,22,29,0.8765133171912833,0.6400985343830827,0.8195811383785172,0.8747955359340015,16
68,298,21,26,0.8861985472154964,0.6705575944713704,0.8350372655499749,0.885086345440159,17
70,300,19,24,0.8958837772397095,0.6986476935196183,0.8490766472052962,0.8948662309346134,18
68,301,18,26,0.8934624697336562,0.6887278191278364,0.8437220502235981,0.8917546441710791,19
66,303,16,28,0.8934624697336562,0.6852776540716324,0.8411538461538463,0.8908139318308811,20
67,305,14,27,0.9007263922518159,0.7063096744208077,0.8513671274961598,0.8980302979584399,21
64,302,17,30,0.8861985472154964,0.6626781399636417,0.829615975422427,0.8831079025377236,22
65,304,15,29,0.8934624697336562,0.6837433634500816,0.8398208871024611,0.8903202849770172,23
68,293,26,26,0.87409200968523,0.6418995531247915,0.8209497765623959,0.8740920096852302,24
66,307,12,28,0.9031476997578692,0.7118543656060857,0.8531398904772065,0.8998276792247132,25
66,302,17,28,0.8910411622276029,0.6788882203619543,0.8382126348228043,0.8885788156112775,26
66,304,15,28,0.8958837772397095,0.6917658296017524,0.8441167434715822,0.8930561661515344,27
65,306,13,29,0.8983050847457628,0.6970999817360007,0.8457968850010669,0.894819063185949,28
67,295,24,27,0.8765133171912833,0.6449289018003345,0.8223805708985117,0.8758010442137469,29
64,304,15,30,0.8910411622276029,0.6756856218961779,0.835485841248484,0.8875689546664081,30
